"freg_id","mun_id","population","households","youth","adults","elderly","women","buildings","buildings_pre1945"
"110501","1105",44165,12886,6687,28534,8944,23114,10824,313
"110506","1105",59238,18014,9429,38460,11349,31328,12143,175
"110507","1105",46529,13452,6193,28788,11548,25340,6797,463
"110508","1105",64192,18504,8728,38844,16620,34576,14462,919
"110601","1106",14306,4038,1796,8591,3919,7740,2716,1018
"110602","1106",13850,3714,1774,8735,3341,7581,1493,729
"110607","1106",12183,3380,1351,7690,3142,6397,1730,628
"110608","1106",35362,10027,4101,20786,10475,19554,2493,91
"110610","1106",14787,3839,1702,9490,3595,7798,2255,787
"110611","1106",18028,5112,2462,11297,4269,9678,1383,174
"110618","1106",46334,12900,6790,29855,9689,24813,1900,123
"110621","1106",35479,10548,4698,22240,8541,18881,1490,292
"110633","1106",32179,9171,3865,19760,8554,17262,2741,203
"110639","1106",34076,9368,4057,21023,8996,18653,1726,257
"110654","1106",33309,8640,4639,20433,8237,18353,2489,121
"110655","1106",21160,5587,2779,13319,5062,11507,1377,488
"110656","1106",33302,7765,3456,23171,6675,16930,2953,1686
"110657","1106",23261,5881,3047,14756,5458,12616,1759,477
"110658","1106",16546,4492,2468,9687,4391,8972,2885,638
"110659","1106",22140,5813,3156,13554,5430,12263,2461,1226
"110660","1106",20267,5170,3013,13063,4191,10888,2781,1637
"110661","1106",9658,2288,953,6472,2233,4849,2007,1649
"110662","1106",22382,6339,3961,15022,3399,11559,777,69
"110663","1106",28475,7487,3076,18815,6584,15195,2425,1115
"110664","1106",23645,6585,4462,15312,3871,12632,1675,163
"110665","1106",10051,2135,875,7149,2027,4428,1978,1598
"110666","1106",11060,2720,1306,7375,2379,5747,1471,861
"110667","1106",13956,3576,1433,9213,3310,7321,2258,1497
"110702","1107",4802,1448,656,2871,1275,2536,2101,458
"110705","1107",2639,794,370,1680,589,1369,1292,197
"110707","1107",30254,9049,4717,19642,5895,15997,5179,323
"110708","1107",3216,956,430,1983,803,1674,1539,343
"110726","1107",20922,6127,2438,11914,6570,11285,1119,135
"110727","1107",24672,7246,3691,16189,4792,13158,1425,119
"110728","1107",44453,13874,6165,27575,10713,23250,8276,139
"110729","1107",8605,2519,1272,5328,2005,4447,3279,317
"110730","1107",28522,8405,4439,19363,4720,15109,1147,30
"110731","1107",33505,9866,5445,21116,6944,17645,5996,196
"110902","1109",2848,870,473,1886,489,1431,1525,39
"110904","1109",4918,1436,710,3134,1074,2511,2171,249
"110906","1109",12359,3649,1954,8008,2397,6424,4340,317
"110909","1109",20781,6236,3576,13917,3288,10776,5274,350
