"mun_id","municipio"
"1105","Cascais"
"1106","Lisboa"
"1107","Loures"
"1109","Mafra"
"1110","Oeiras"
"1111","Sintra"
"1114","Vila Franca de Xira"
"1115","Amadora"
"1116","Odivelas"
"1502","Alcochete"
"1503","Almada"
"1504","Barreiro"
"1506","Moita"
"1507","Montijo"
"1508","Palmela"
"1510","Seixal"
"1511","Sesimbra"
"1512","Setúbal"
